(Message inbox:11)
Received: from charon.arc.nasa.gov by ICS.UCI.EDU id aa04470; 3 Aug 89 16:09 PDT
Received: from HALEAKALA.arc.nasa.gov by CHARON.arc.nasa.gov via INTERNET with SMTP id 40193; 3 Aug 89 15:36:34 PDT
Date: Thu, 3 Aug 89 15:36 PDT
From: will taylor <taylor@CHARON.arc.nasa.GOV>
Subject: Clouds Data Base
To: aha@ICS.UCI.EDU
Message-ID: <19890803223605.1.TAYLOR@HALEAKALA.arc.nasa.gov>

David -

Here are two cloud cover images and descriptive info.
Source of data:

Philippe Collard -  California Space Institute 
		    A-021, UCSD
		    La Jolla, CA 92093
		   (619)534-6369
		   27799::collard  (decnet)

;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

;                   CLOUD DATABASE
;The data sets we propose to analyse are constituted of 1024 vectors, each
;vector includes 10 parameters. You can think of it as a 1024*10 matrix.
;To produce these vectors, we proceed as follows:
;
;	- we start with two 512*512 AVHRR images 
;	  (1 in the visible, 1 in the IR)
;	- each images is divided in super-pixels 16*16 and in each
;	  super-pixel we compute a set of parameters.
;
;		visible: mean, max, min, mean distribution, contrast,
;			 entropy, second angular momentum
;		IR: mean, max, min

;The set of 10 parameters we picked to form the vectors is a compromised between
;various constraints. Actually we are still working on the choice of parameters
;for the data vectors. The data set I send you has not been normalized. The
;normalization of the data set is required by our classification scheme but that
;may not be true for yours. To normalize the data we compute the mean and
;standard deviation for each parameter on the entire data set then for each
;parameter of each vector we compute: 
;
;	Norm. value = (un-norm value - mean)/SD	where
;
;	mean = mean value for this particular parameter over the data set
;	SD   = standard deviation .....
;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;; CLOUD COVER DB #1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

    3.0000  140.0000   43.5000    0.0833  862.8417    0.0254    3.8890  163.0000  240.0000  213.3555
    3.0000  135.0000   41.9063    0.0790  690.3291    0.0259    3.8340  167.0000  239.0000  213.7188
    2.0000  126.0000   21.0586    0.0406  308.3583    0.0684    3.1702  174.0000  240.0000  227.5859
    4.0000  197.0000   77.4805    0.0890  874.4709    0.0243    3.9442  155.0000  239.0000  197.2773
    7.0000  193.0000   88.8398    0.0884  810.1126    0.0223    3.9318  150.0000  236.0000  186.0195
    5.0000  190.0000   57.1836    0.0568  388.4958    0.0398    3.5269  135.0000  236.0000  195.3125
    5.0000  144.0000   42.0391    0.0418  250.8750    0.0543    3.2405   94.0000  225.0000  179.1484
    3.0000  130.0000   18.2188    0.0297  180.3792    0.1084    2.8236  155.0000  235.0000  216.5117
    3.0000  136.0000   44.7813    0.0592  433.3792    0.0394    3.5576  152.0000  238.0000  205.6914
    3.0000  124.0000   28.5781    0.0359  234.3500    0.1251    2.8862  159.0000  240.0000  220.0352
    3.0000  187.0000   86.0547    0.0756  624.3583    0.0265    3.7939  150.0000  239.0000  189.0586
    4.0000  191.0000   81.0234    0.0869  787.4542    0.0257    3.8711  150.0000  237.0000  190.6914
    3.0000  169.0000   57.9648    0.0844  802.8417    0.0263    3.8562  153.0000  237.0000  203.0938
    5.0000  187.0000   78.8047    0.0923  883.4042    0.0224    3.9528  151.0000  236.0000  193.2969
    6.0000  181.0000   73.2891    0.0972 1046.5958    0.0217    4.0206  152.0000  234.0000  194.8008
    4.0000  148.0000   32.0625    0.0608  546.9709    0.0388    3.5703  155.0000  237.0000  218.5234
    4.0000  121.0000   33.7031    0.0579  414.2751    0.0358    3.5909  175.0000  236.0000  218.7148
    7.0000  155.0000   59.2305    0.0837  745.0083    0.0250    3.8622  162.0000  234.0000  203.8516
    5.0000  116.0000   36.0195    0.0703  568.9750    0.0315    3.6985  171.0000  234.0000  216.6875
    4.0000   78.0000   12.1563    0.0215  107.8208    0.1449    2.5383  193.0000  235.0000  229.9531
    4.0000  128.0000   22.0547    0.0403  298.7000    0.0823    3.1272  172.0000  236.0000  224.1055
    4.0000  127.0000   26.6719    0.0559  403.9792    0.0361    3.5378  167.0000  234.0000  220.6367
    6.0000  150.0000   44.6367    0.0844  811.0958    0.0267    3.8723  161.0000  235.0000  212.1094
    6.0000  141.0000   51.9727    0.0799  709.2292    0.0259    3.8191  162.0000  237.0000  208.5352
    6.0000  140.0000   49.7695    0.0864  789.9916    0.0236    3.8960  165.0000  237.0000  210.7266
    5.0000   78.0000   17.0430    0.0299  140.3542    0.0764    2.9614  195.0000  238.0000  230.6953
    6.0000  115.0000   23.8047    0.0420  342.0583    0.0733    3.1733  176.0000  237.0000  226.6250
    7.0000  141.0000   32.9063    0.0670  547.2209    0.0325    3.6859  166.0000  237.0000  218.8398
    7.0000  145.0000   40.3945    0.0629  490.3209    0.0326    3.6723  165.0000  235.0000  214.9297
    9.0000  114.0000   36.5625    0.0530  326.4500    0.0377    3.4987  184.0000  234.0000  218.4648
   12.0000  105.0000   41.4961    0.0588  360.8750    0.0347    3.5334  181.0000  233.0000  216.2734
   12.0000  137.0000   51.0352    0.0720  584.0667    0.0280    3.7435  167.0000  233.0000  210.4688
   10.0000  182.0000  106.7813    0.1244 1534.4332    0.0190    4.1332  151.0000  233.0000  176.2500
   22.0000  198.0000  129.5039    0.0876  801.9874    0.0233    3.9221  151.0000  225.0000  166.3086
    6.0000  215.0000  108.1289    0.0938  950.5250    0.0233    3.9730  152.0000  236.0000  179.5859
    5.0000  213.0000   83.1211    0.0781  701.7667    0.0270    3.8126  153.0000  237.0000  190.1406
    3.0000  177.0000   26.8125    0.0349  271.0792    0.1171    2.8282  154.0000  239.0000  223.1211
    3.0000  195.0000   58.9219    0.0575  614.7667    0.1009    3.1781  153.0000  240.0000  209.6250
    7.0000  201.0000  121.0664    0.0758  676.3500    0.0275    3.7934   77.0000  237.0000  154.6992
    8.0000  124.0000   43.4063    0.0398  230.2292    0.0509    3.2430   59.0000  227.0000  172.6563
    8.0000  166.0000   69.9609    0.0659  542.7250    0.0317    3.6293  150.0000  233.0000  190.8125
   13.0000  178.0000   91.9688    0.1058 1085.3584    0.0202    4.0505  149.0000  233.0000  183.2969
    7.0000  189.0000  103.6250    0.0889  813.8126    0.0233    3.9156  150.0000  236.0000  178.7422
    7.0000  188.0000   84.0508    0.0947  901.7875    0.0210    3.9842  150.0000  236.0000  187.5078
    7.0000  171.0000   73.6289    0.0800  740.1833    0.0255    3.8339  151.0000  236.0000  193.3711
    6.0000  189.0000   65.3516    0.0848  797.3792    0.0241    3.8927  150.0000  236.0000  199.9023
    9.0000  178.0000  103.9961    0.1142 1293.8959    0.0186    4.1176  151.0000  232.0000  176.5898
    9.0000  187.0000   76.4453    0.0962  953.1791    0.0214    3.9942  150.0000  231.0000  191.9688
   10.0000  169.0000   68.0156    0.0867  817.6666    0.0233    3.9259  154.0000  231.0000  196.6953
