-0.60927,0.60891,-0.07801,-0.69752,1.3583,-0.69284,1.1824,0.75062,0.93787,0.87638
-0.60927,0.51001,-0.13088,-0.69887,0.94205,-0.69034,1.1287,0.78366,0.92992,0.87923
-0.65339,0.33199,-0.82254,-0.71095,0.020391,-0.47778,0.47985,0.84146,0.93787,0.98808
-0.56515,1.7364,1.0494,-0.69573,1.3864,-0.69834,1.2364,0.68456,0.92992,0.75017
-0.43278,1.6573,1.4262,-0.69591,1.2311,-0.70835,1.2243,0.64327,0.90607,0.6618
-0.52103,1.5979,0.37597,-0.70585,0.21376,-0.62082,0.82851,0.5194,0.90607,0.73475
-0.52103,0.68803,-0.12648,-0.71057,-0.11831,-0.5483,0.54856,0.18083,0.81861,0.60786
-0.60927,0.41111,-0.91676,-0.71437,-0.28841,-0.27773,0.14106,0.68456,0.89812,0.90115
-0.60927,0.52979,-0.0355,-0.7051,0.32205,-0.62282,0.85852,0.65979,0.92197,0.81622
-0.60927,0.29243,-0.57307,-0.71242,-0.15818,-0.1942,0.20225,0.71759,0.93787,0.92881
-0.60927,1.5386,1.3338,-0.69994,0.78287,-0.68734,1.0895,0.64327,0.92992,0.68566
-0.56515,1.6177,1.1669,-0.69639,1.1764,-0.69134,1.165,0.64327,0.91402,0.69847
-0.60927,1.1825,0.40189,-0.69717,1.2135,-0.68834,1.1504,0.66805,0.91402,0.79583
-0.52103,1.5386,1.0933,-0.69469,1.4079,-0.70785,1.2448,0.65153,0.90607,0.71892
-0.4769,1.4199,0.9103,-0.69315,1.8017,-0.71135,1.3111,0.65979,0.89017,0.73073
-0.56515,0.76715,-0.45747,-0.70459,0.59614,-0.62582,0.87093,0.68456,0.91402,0.91694
-0.56515,0.23309,-0.40304,-0.70551,0.27596,-0.64083,0.89107,0.84972,0.90607,0.91844
-0.43278,0.90561,0.44388,-0.69739,1.074,-0.69484,1.1563,0.74237,0.89017,0.80177
-0.52103,0.13419,-0.32619,-0.70161,0.64923,-0.66233,0.99624,0.81669,0.89017,0.90253
